c_name,m_name,t_name,init_method,epsilon,pc_name,date,m,n,k,iteration,exec_time,qr_time,manip_time,bw_time,obj_fun,U_norm,V_norm
horses,horse212,100_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:22:25,517,800,100,133,86.78921675682065,3.798876285552968,81.26406717300415,1.7262732982635394,3894.0107457565264,1107.6193913153106,941.72198825509
horses,horse212,100_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:59,517,800,100,199,128.93514251708982,4.8538029193878,121.5311107635498,2.5502288341522075,3894.01075861758,2033.172461760749,546.0609936501841
horses,horse212,10_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:28,517,800,10,36,2.768787860870355,0.0339679718017557,2.7144610881805393,0.020358800888060396,14515.835020630317,369.0018626422109,704.7732002054718
horses,horse212,10_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:16,517,800,10,31,2.2977452278137167,0.021316528320312098,2.254861593246457,0.021567106246947944,14515.834999236786,577.2464540267152,416.551750740185
horses,horse212,10_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:15:50,517,800,10,28,2.2488975524902304,0.0617637634277336,2.16420769691467,0.022926092147826767,14515.83501513284,565.9130453397646,526.4099450577878
horses,horse212,1_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:26,517,800,1,4,0.0477690696716303,0.0010099411010742,0.0459227561950679,0.0008363723754882,27711.05881865456,46.22681313002861,1755.0202998436805
horses,horse212,1_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:15,517,800,1,4,0.027410507202148,0.0003285408020019,0.0260813236236569,0.0010006427764892,27711.05881865893,315.16812416919765,257.41497701945605
horses,horse212,1_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:15:49,517,800,1,3,0.0396277904510495,0.000199556350708,0.0384302139282224,0.0009980201721191,27711.058818661597,254.42220760267912,318.8754480386164
horses,horse212,200_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:19:09,517,800,200,106,136.04636454582214,11.709017276763907,118.40441989898682,5.932927370071401,1797.3682409862804,3279.578176084389,647.1795346538272
horses,horse212,20_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:31,517,800,20,70,9.195737838745107,0.20645046234130598,8.943825006484978,0.045462369918821605,10385.026342233148,461.5126086553561,809.2653570587586
horses,horse212,20_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:19,517,800,20,75,10.73686099052428,0.210531473159787,10.37874245643615,0.1475870609283422,10385.026345855076,860.5610639275028,450.30524122926334
horses,horse212,20_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:15:53,517,800,20,60,8.26888680458068,0.11468768119811851,8.065084934234614,0.08911418914794779,10385.026315701947,509.3846482991617,628.0916188128989
horses,horse212,2_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:26,517,800,2,23,0.3638608455657926,0.0169610977172847,0.3426544666290257,0.0042452812194822,24907.370254887,80.63516885985001,1379.6491591480176
horses,horse212,2_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:15,517,800,2,33,0.4609339237213097,0.0011186599731444,0.4551267623901333,0.004688501358032,24907.37037406005,197.0581977955109,474.7216346796289
horses,horse212,2_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:15:49,517,800,2,23,0.3191397190093972,0.0004570484161376,0.316202163696287,0.0024805068969726,24907.370259287756,208.6569183252336,474.2313002457606
horses,horse212,50_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:40,517,800,50,135,43.7690587043762,1.0797007083892738,42.09718513488769,0.5921728610992355,6435.827222510193,665.2016130345509,845.8126950036894
horses,horse212,50_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:30,517,800,50,94,27.92979788780211,0.7048909664154002,26.78631901741027,0.43858790397643654,6435.827234377835,1360.0051813325404,501.850975186081
horses,horse212,5_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 18:21:27,517,800,5,18,0.7155144214630106,0.0111808776855465,0.6928868293762191,0.0114467144012449,19122.97827819974,251.8669553256815,610.6452254990206
horses,horse212,5_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 18:16:16,517,800,5,17,0.623203754425047,0.0025908946990966,0.6043093204498275,0.0163035392761229,19122.97831350834,323.47881749831515,436.4573306711469
horses,horse212,5_sketching_g_1e-08,sketching_g,1e-08,PC_Giacominico,2024-12-18 18:15:50,517,800,5,17,0.640188694000242,0.0044577121734618,0.627598524093626,0.0081324577331542,19122.978323456628,346.83688821483287,485.1080356345258
pretest,vegeta,100_rand_n_1e-08,rand_n,1e-08,PC_Giacominico,2024-12-18 16:18:17,735,735,100,67,61.801275253295884,1.6499617099761905,59.29354190826416,0.8577716350555374,1726.6214393414373,1168.7121620833836,1214.9222825549962
pretest,vegeta,100_rand_u_1e-08,rand_u,1e-08,PC_Giacominico,2024-12-18 16:15:56,735,735,100,64,57.184644699096665,1.4143700599670357,54.94148015975952,0.8287944793701125,1726.62144165285,1699.8807272253375,676.7517378943714
pretest,vegeta,100_scaled_n_1e-08,scaled_n,1e-08,PC_Giacominico,2024-12-18 16:24:14,735,735,100,85,77.89882183074951,1.9776926040649343,74.86299800872803,1.0581312179565359,1726.6214293738703,1099.114908722974,1158.8739111288085
pretest,vegeta,100_scaled_u_1e-08,scaled_u,1e-08,PC_Giacominico,2024-12-18 16:20:31,735,735,100,104,94.53648543357846,2.3513054847717196,90.84632587432861,1.338854074478142,1726.6214378837997,979.5076762455112,1153.1850825979104
pretest,vegeta,100_semi-orthogonal_1e-08,semi-orthogonal,1e-08,PC_Giacominico,2024-12-18 17:56:32,735,735,100,72,61.23980379104613,1.610320568084711,58.504209756851196,1.125273466110225,1726.621428861268,25530.292205921956,43.03611590380008
pretest,vegeta,100_sketching_b_1e-08,sketching_b,1e-08,PC_Giacominico,2024-12-18 18:03:01,735,735,100,106,91.65900063514707,2.3198018074035556,87.96786832809448,1.3713304996490407,1726.6214324224054,1688.8342417574615,844.649687105914
